date,avg_temperature_c,daily_precipitation_mm,avg_wind_speed_ms,avg_relative_humidity_pct
2016-01-01,1.3,,1.8,63.5
2016-01-02,2,,0.8,70.4
2016-01-03,3.3,,0.5,74.3
2016-01-04,6.5,,2.7,49.9
2016-01-05,2.3,,2.8,24.9
2016-01-06,1.7,,3.4,41
2016-01-07,1.5,,3.3,42.1
2016-01-08,0.6,,3.7,41.9
2016-01-09,0.2,,2.2,50.5
2016-01-10,2.4,,2.2,48.3
2016-01-11,0.2,,2,32.5
2016-01-12,-2.4,,2,41.3
2016-01-13,-1.2,,3,52.6
2016-01-14,-1.1,0,2.8,47.6
2016-01-15,-2.3,,0.6,62.3
2016-01-16,-0.9,,0.7,64.3
2016-01-17,1.6,3,0.8,81.9
2016-01-18,-0.6,0.3,4.5,61.3
2016-01-19,-6.6,,5.6,40.5
2016-01-20,-6,,2.6,43.4
2016-01-21,-3.8,,2.5,34.5
2016-01-22,-2.6,,2.9,29.6
2016-01-23,-5.7,,4.2,28.9
2016-01-24,-10.3,,4.4,41.3
2016-01-25,-5.2,,4.3,46.3
2016-01-26,-1.3,,3.5,54
2016-01-27,0.4,,1.7,48
2016-01-28,-1.1,4,0.5,71.5
2016-01-29,1.7,14,0.8,99.4
2016-01-30,2,1.2,0.5,99.3
2016-01-31,0.9,,2.3,58
2016-02-01,-1.2,,3,34.9
2016-02-02,-2.6,,2.3,40.8
2016-02-03,-1.2,,2.1,47
2016-02-04,1.7,,3.4,41.8
2016-02-05,1.3,,3.2,32.1
2016-02-06,-0.5,,2.4,38.6
2016-02-07,-1.4,,1.3,48.5
2016-02-08,-0.6,,1.5,53.5
2016-02-09,2.9,,3.7,36.6
2016-02-10,1.7,,0.9,55.1
2016-02-11,5.3,,1,65
2016-02-12,8.6,5,0.5,97.4
2016-02-13,13.1,8.5,0.6,98.5
2016-02-14,4.1,0.1,4.9,64.3
2016-02-15,-2.4,,4.5,44.8
2016-02-16,0.7,,3.4,53.3
2016-02-17,2.2,,2.8,42.3
2016-02-18,3,,1.7,54.3
2016-02-19,4.1,,1.3,56
2016-02-20,4.9,,2.1,46.9
2016-02-21,1.6,,3.1,35.9
2016-02-22,3.3,,1.1,44.6
2016-02-23,4.5,,2.9,41.4
2016-02-24,0.3,0,2.2,47.4
2016-02-25,0.5,,2.9,41.8
2016-02-26,2,0.1,1.4,68.6
2016-02-27,5.5,0.1,1.5,69.1
2016-02-28,6.9,3.5,2.2,66.9
2016-02-29,-0.6,0,4.4,51.5
2016-03-01,-0.2,,3.1,40.4
2016-03-02,3.7,,2,47.4
2016-03-03,6.3,,1.1,54.4
2016-03-04,6.3,11.5,1.4,97
2016-03-05,12.2,37.5,1.9,90.5
2016-03-06,12.9,13.5,1.4,78.8
2016-03-07,9.9,,1.5,71.3
2016-03-08,8.6,0,2.5,35.5
2016-03-09,5.9,,1.9,49.5
2016-03-10,3.1,,3,36.3
2016-03-11,1.3,,2.4,44.1
2016-03-12,3,,1.4,44.4
