종목코드,관리번호,시도코드,국가유산연계번호,경도,위도,국가유산종목,국가유산분류,국가유산분류2,국가유산분류3,국가유산분류4,문화재명(국문),문화재명(한자),수량,지정일,시도명,시군구명,소재지상세,시대,소유자,관리자,지정해제여부,이미지URL,내용
11,140000000,37,1113700140000,128.7645359,36.02007948,국보,유적건조물,종교신앙,불교,불전,영천 거조사 영산전,永川 居祖寺 靈山殿,1동,19621220,경상북도,영천시,"
			
	             
	                 
	                 
	                     경상북도 영천시 청통면 신원리 622 거조사 
	                 
	             
	         
	         
		",고려시대 말기/조선시대 초기,"
                은해사
        ","
               은해사
		",N,http://www.khs.go.kr/unisearch/images/national_treasure/1612612.jpg,"은해사는 통일신라 헌덕왕 1년(809) 혜철국사가 지은 절로 처음에는 해안사라 하였다고 하며 여러 차례 있었던 화재로 많은 건물을 다시 지었는데, 지금 있는 건물들의 대부분은 근래에 세운 것들이다.
 돌계단을 오르는 비교적 높은 기단 위에 소박하고 간결하게 지은 영산전은 거조사의 중심 건물이다. 고려 우왕 원년(1375)에 처음 지었으며, 석가모니불상과 526분의 석조나한상을 모시고 있다.
 앞면 7칸·옆면 3칸 크기의 규모이며, 지붕은 옆면에서 보았을 때 사람 인(人)자 모양인 맞배지붕으로 꾸몄다. 지붕 처마를 받치기 위해 장식하여 짜은 구조를 기둥 위부분에만 설치한 주심포 양식이다. 특히 영산전은 고려말·조선초 주심포 양식의 형태를 충실하게 보여주고 있어 매우 중요한 문화유산으로 평가받고 있다."
11,3510000000,37,1112506200001,128.9408936,35.92509021,국보,기록유산,서각류,금석각류,비,영천 청제비,永川 菁堤碑,2기,20250620,경상북도,영천시,"
			
	             
	                 
	                 
	                     경북 영천시 도남동 산7-1번지
	                 
	             
	         
	         
		","① (앞)청제축조비-536년(신라 법흥왕 23), (뒤)청제수리비-798년(신라 원성왕 14)    ② 청제중립비-1688년(조선 숙종 14) ","
                공유
        ","
               영천시
		",N,http://www.khs.go.kr/unisearch/images/national_treasure/2025062010151892.jpg,"   ‘영천 청제비’는 신라 때 조성 이래 현재까지 사용되고 있는 ‘청못’ 옆에 세워진 비석으로 받침돌과 덮개돌 없이 자연석에 비문을 새긴 2기의 비석이다. 청제축조･수리비와 청제중립비로 구성된 이 비석은 세 시기에 걸쳐 청제의 조영 및 수리와 관련된 내용을 새긴 비석으로, 자연재해를 극복하는 토목 기술과 국가 관리 체계를 보여주는 문화유산이다.
  청제축조비와 청제수리비는 모양이 일정치 않은 하나의 돌 앞뒷면에 내용을 새겼는데, 위쪽이 얇고 아래쪽이 두꺼운 형태이다. 청제축조비는 536년(법흥왕 23) 청제를 처음 조성한 내용을 담고 있으며, 비문은 10행으로 각 행의 글자 수는 9～12자이다. 서체는 고졸하고 비정형적이며 자유분방한 6세기 신라 서풍의 전형에 해당한다. 청제수리비는 798년(원성왕 14) 청제의 수리에 관한 내용을 담고 있으며, 비문은 12행으로 각 행의 글자 수는 4～16자이다. 서체는 통일신라의 세련된 서체와 달리 청제축조비의 신라 고유 서풍을 계승하였다. 두 면의 비문 대부분은 판독이 가능할 정도로 양호한 상태이다.
  바로 옆의 청제중립비는 1688년(숙종 14) 청제축조･수리비가 땅에 묻혀 있었던 것을 다시 일으켜 세운 사실을 담고 있다. 서체는 조선의 일반적인 해서와 다른 신라의 고졸한 서풍을 반영하고 있다.
  ‘영천 청제비’는 청제의 축조 과정과 수리 과정, 왕실(국왕) 소유의 제방 관리 및 보고 체계 등을 기록함으로써 신라의 정치 및 사회･경제적 내용을 연구･확정지을 수 있는 중요한 자료가 될 수 있어 역사적･학술적 가치가 매우 크다는 점, 또한 그 유래를 찾기 어려운 고비석으로서 한 비석에 시기를 달리하는 비문을 기록하고 있다는 점에서 희귀한 사례라는 점, 조성 이래 현재까지 원 위치에서 그대로 보존되고 있다는 점에서 국보로 승격하여 보존･관리할 만한 가치가 충분하다."
12,4650000000,37,1123704650000,128.8987576,35.93750099,보물,유적건조물,종교신앙,불교,탑,영천 신월리 삼층석탑,永川 新月里 三層石塔,1기,19681219,경상북도,영천시,"
			
	             
	                 
	                 
	                     경북 영천시 금호읍 금호로 360-29, 신흥사 (신월리)
	                 
	             
	         
	         
		",통일신라시대,"
                신흥사
        ","
               신흥사
		",N,http://www.khs.go.kr/unisearch/images/treasure/1621023.jpg,"9세기 통일신라시대의 석탑으로 높이는 4.75m이다. 
탑이 세워질 당시의 절의 이름이나 규모에 대해서는 알려진 바가 없으며, 최근 이 터에 법당을 짓고 신흥사(新興寺)라 이름지어 탑을 보존하고 있다.
 이 탑은 기단(基壇)을 2층으로 마련하고, 그 위로 기와집 모양의 탑신(塔身)을 3층으로 쌓아 올린 통일신라시대의 석탑이다. 기단은 위아래층 모두 각 면의 모서리와 가운데 부분에 기둥 모양의 조각을 새겼으며, 위층 기단 각 면에는 8부중상(八部衆像)을 새겨 놓았다. 8부중상이란 불법을 지키는 여덟신의 모습으로 석탑에서는 주로 기단에 새기는데, 탑신에 모셔진 부처의 사리나 불경 등을 지키고 있는 모습이다. 탑신은 각 층의 몸돌과 지붕돌을 각각 하나의 돌로 사용하였으며, 몸돌 모서리마다 기둥 모양을 조각하였다. 1층 몸돌에는 4면 모두 문짝 모양의 조각을 새기고 각각 그 안에 자물쇠와 문고리 모양의 조각을 표현해 놓았다. 지붕돌 밑면의 받침은 모두 4단으로 새겼고, 처마선은 수평을 이루나 두꺼워 보인다. 지붕돌 경사면의 네 귀퉁이는 이러한 두터운 지붕돌에 비해 아주 경쾌하게 위로 치켜올려져 있다.
 전체적으로 1층 몸돌이 큰 것에서 오는 불균형이 있고 각 4면에 모두 조각을 새겨 과장된 듯한 느낌이 들기는 하나, 당시의 수법만은 잃지 않은 아름다운 작품이다."
12,4860000000,37,1123704860000,128.7680167,35.9965597,보물,유적건조물,종교신앙,불교,기타,영천 은해사 백흥암 수미단,永川 銀海寺 百興庵 須彌壇,1기,19681219,경상북도,영천시,"
			
	             
	                 
	                 
	                     경상북도 영천시 은해사로  417-144(청통면, 백흥암) 
	                 
	             
	         
	         
		",조선시대,"
                은해사
        ","
               은해사 백흥암
		",N,http://www.khs.go.kr/unisearch/images/treasure/1621056.jpg,"수미단이란 상상의 산인 수미산 형태의 단을 만들고 그 위에 불상을 모시는 불단를 말한다.
 영천 은해사 백흥암 수미단(永川 銀海寺 百興庵 須彌壇)은 극락전에 있는 높이 125㎝, 너비 413㎝의 조선 후기에 만든 불단이다. 앞쪽 면은 5단으로 되어 있으며, 각 단도 5등분 되어 각각 직사각형 모양이다. 가장 위에 있는 단은 안상문을 도드라지게 조각하였다. 제2단은 봉황·공작·학·꿩 등을, 제3단은 용·어린아이·물고기·개구리 등을 매우 섬세하게 조각하였다. 제4단은 꽃잎 속에 있는 코끼리·사자·사슴 등을 조각하였고, 가장 아래단의 양쪽 끝에는 도깨비 얼굴을, 가운데 부분에는 용을 조각하였다.
 각 단에 있는 새나 동물의 배열이 특색 있고, 조각기법도 매우 우수하다. 이런 특징이 있는 불단은 조선 후기 작품으로 더러 남아 있지만, 이 불단은 그 중에서도 대표되는 작품으로 가치가 있다."
12,5130000000,37,1123705130000,128.9688734,36.0394867,보물,유물,불교조각,금속조,보살상,영천 선원동 철조여래좌상,永川 仙源洞 鐵造如來坐像,1구,19690730,경상북도,영천시,"
			
	             
	                 
	                 
	                     경북 영천시 임고면 환구길 144, 선정사 (선원리)
	                 
	             
	         
	         
		",고려시대,"
                국유
        ","
               영천시
		",N,http://www.khs.go.kr/unisearch/images/treasure/1621143.jpg,"통일신라 후기부터 고려시대에 걸쳐 철로 만든 불상이 유행하게 되는데, 영천 선원동 철조여래좌상(永川 仙源洞 鐵造如來坐像)은 안정감 있는 신체 비례와 양감 있는 체구 등에서 통일신라시대 불상양식을 계승하고 있는 고려 초기 불상 모습을 보여주고 있다. 
 머리 위에는 상투 모양의 머리(육계)가 있고 이마 위쪽으로는 고려시대 불상에서 자주 나타나는 반달 모양을 분명하게 표현하였다. 얼굴은 둥근 편으로 치켜올라간 눈썹, 긴 눈꼬리, 짧은 인중, 꼭 다문 입 등에서 근엄한 인상을 풍기고 있다. 오른쪽 어깨를 드러내고 왼쪽 어깨에만 걸쳐 입은 옷은 매우 얇게 표현하여 신체의 윤곽을 남김없이 드러낸다. 간략한 옷주름은 국립중앙박물관 소장의 철조비로자나불좌상이나 단호사 철불좌상(보물)처럼 완전히 기하학적이고 도식적인 모습은 아니어서 고려시대 철불좌상의 양식 전개과정을 확인할 수 있다.
 머리에 표현된 반달 모양, 다소 경직된 얼굴 표현, 간략해진 신체 표현 등에서 고려 초기 불상양식을 대변하고 있는 우수한 철불상으로 주목된다."
12,5140000000,37,1123705140000,128.7591883,36.00376119,보물,유물,불교조각,금속조,보살상,영천 은해사 운부암 금동보살좌상,永川 銀海寺 雲浮庵 金銅菩薩坐像,1구,19690730,경상북도,영천시,"
			
	             
	                 
	                 
	                     경상북도 영천시 은해사로  660(청통면, 은해사 운부암) 
	                 
	             
	         
	         
		",조선시대,"
                은해사
        ","
               은해사
		",N,http://www.khs.go.kr/unisearch/images/treasure/1621144.jpg,"영천 은해사 운부암 금동보살좌상(永川 銀海寺 雲浮庵 金銅菩薩坐像)은 신라 헌덕왕 1년(809)에 혜철국사가 창건한 은해사의 운부암에 모셔진 보살상으로 불꽃무늬·꽃무늬·극락조(極樂鳥) 등으로 장식한 화려한 관(冠)을 쓰고 있는 높이 1.02m의 아담한 작품이다.
 얼굴은 눈꼬리가 약간 올라간 갸름한 형태이며, 온 몸을 휘감은 구슬장식이 무척 화려한 모습이다. 신체 표현은 굴곡 없이 수평적이어서 형식적으로 처리된 느낌이지만 안정감을 주고 있다. 이런 표현은 영덕 장육사 건칠보살좌상(보물), 대승사 금동보살좌상(보물)과 비슷한 양식으로 지방적인 특색이 엿보인다. 목에 있는 띠 주름식의 삼도(三道), 가슴 아래 띠로 묶은 매듭 표현, 양 다리에 대칭적으로 흘러내린 옷주름 등은 조선 초기 보살상의 전형적인 양식을 따르고 있는 모습이다.
 이러한 점에서 고려 후기 경상북도 지역의 지방색을 계승하고 있는 조선 초기의 보살상으로 볼 수 있다."
12,5210000000,37,1123705210000,128.9289828,35.96642465,보물,유적건조물,주거생활,주거건축,가옥,영천 숭렬당,永川 崇烈堂,1동,19700723,경상북도,영천시,"
			
	             
	                 
	                 
	                     경북 영천시 숭렬당길 1 (성내동)
	                 
	             
	         
	         
		",조선시대 후기,"
                이＊＊＊
        ","
               영천이씨문중
		",N,http://www.khs.go.kr/unisearch/images/treasure/1621156.jpg,"조선 세종 때 대마도와 여진 정벌에 공을 세운 이순몽 장군의 집으로 세종 15년(1433)에 중국식으로 지은 건물이다. 1970년 문화유산으로 지정된 뒤 복원공사를 한 건물로 지금은 장군의 위패를 모시고 제사를 드리는 사당으로 쓰고 있다.
 규모는 앞면 5칸·옆면 3칸이며 지붕은 옆면에서 볼 때 사람 인(人)자 모양인 맞배지붕인데 그 양쪽 끝 칸에 날개를 단 듯 지붕을 덧달았다. 따라서 전체로 보면 옆면이 여덟 팔(八)자 모양과 비슷한 팔작지붕으로 볼 수 있다. 이 같은 모양은 맞배지붕이 팔작지붕으로 변하는 과정을 보이고 있는 지붕 형식이다. 지붕 처마를 받치기 위해 기둥 위부분에 장식하여 짜은 구조는 새부리 모양으로 뻗쳐 나왔다. 평면은 가운데 3칸보다 양쪽 끝 칸이 한 자씩 좁으며 건물 안쪽의 천장은 가구가 훤히 보이는 연등천장으로 꾸미고 있다.
 구조가 조선 전기의 수법을 보이고 있지만 일부 재료의 정교하고 아름다운 조각들이 조선 후기의 수법을 나타내고 있다. 조사결과 몇 차례 수리가 있었던 것으로 보이는데 대체로 검소하고 건실하게 지은 집이다."
12,6160000000,37,1123706160000,128.9282576,35.96999317,보물,유적건조물,교육문화,교육기관,향교,영천향교 대성전,永川鄕校 大成殿,1동,19780411,경상북도,영천시,"
			
	             
	                 
	                 
	                     경상북도 영천시 교촌길 34 (교촌동) 
	                 
	             
	         
	         
		",조선 세종 17년(1435),"
                향교재단
        ","
               향교재단
		",N,http://www.khs.go.kr/unisearch/images/treasure/1621284.jpg,"영천향교는 옛 성현께 제사를 드리고 학문을 갈고 닦는 지방의 국립교육기관이다. 제사를 지내는 공간의 중심 건물인 대성전은 공자를 비롯한 여러 성현들의 위패를 모시고 있다. 조선 세종 17년(1435)에 처음 세웠고 중종 8년(1513)에 군수 김흠조가 고쳤는데, 지금 있는 건물은 그 뒤에도 여러 차례 다시 짓고 수리한 것이다.
 규모는 앞면 5칸·옆면 3칸이며 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕이다. 가운데 칸과 양쪽 두 칸에 여닫이문을 달아 문 윗부분을 우물 정(井)자 모양의 창살로 꾸몄다. 옆면 1칸을 터서 복도형식으로 만든 일반적인 대성전 건축 형식과는 달리, 옆면 3칸을 모두 내부로 만들고 있는 점이 특이하다. 건물 안쪽은 가운데 칸 뒷쪽에 1개, 양쪽에 2개씩 제단을 만들었고 천장은 서까래가 훤히 보이는 연등천장이다."
12,6520000000,37,1123706520000,128.9385509,35.9732205,보물,기록유산,전적류,필사본,고본,이형상 수고본,李衡祥 手稿本,10종 15책,19790207,경상북도,영천시,"
			
	         
	             경상북도  영천시
	         
		",,"
                완＊＊＊
        ","
               완＊＊＊
		",N,http://www.khs.go.kr/unisearch/images/treasure/2018101214492600.jpg,"‘이형상 수고본(李衡祥 手稿本)’은 조선 숙종 때의 국학자이자 실학의 선구자였던 병와 이형상(甁窩 李衡祥, 1653∼1733)이 남긴 친필 원고본이다.
이형상의 자는 중옥(仲玉), 호는 병와·순옹(順翁), 본관은 전주(全州), 효령대군의 10대손이다. 1677년(숙종 3)에 사마시, 1680년(숙종 6)에 문과에 급제한 후 호조좌랑·청주목사·동래부사·제주목사 등을 지냈다. 그 후 벼슬을 사양하고 영천에 호연정(浩然亭)을 짓고 30여 년 간을 후학 양성과 저술에 전념했다. 그의 학문 영역은 매우 넓고 깊어서 경학 및 성리학을 비롯하여 예학·역사·전기·지리·시문에 이르는 넓은 분야를 해박한 지식을 가지고서 다루고 있다. 그는 저서뿐만 아니라 그와 관련된 간찰·교지 등의 고문서와 인각, 기타 유품도 남겨 놓았다. 
‘이형상 수고본’으로 일괄 지정된 그의 저술은 10종 15책으로 성리학을 비롯하여 예학·역사·전기·지리·시문 등 넓은 분야를 포괄하는 국학연구에 도움이 되는 자료들로서 그 가치가 있다. 구체적인 목록은 다음과 같다.
(1) 선후천(先後天) 3책 : 역학 관계 저술인 활자본
(2) 악학편고(樂學便考) 3책 : 신라·고려 및 조선 초기의 속악을 모아놓은 악학서
(3) 악학습령(樂學拾零) 1책 : 고려 및 조선 초기의 1,109수의 시조를 모아놓은 시조집
(4) 강도지(江都志) 2책 : 강화의 지리지이자 수어책(守禦策)을 기술한 필사본
(5) 남환박물지(南宦博物誌) 1책 : 1704년에 완성된 제주의 자연, 풍물 등을 수록한 지리서
(6) 탐라순력도(耽羅巡歷圖) 1첩 : 이형상이 제주 관내를 한 달간 순력(감사가 도내의 각 고을을 순회함)하고 돌아온 후 그간의 여러 가지 상황들을 28폭의 그림에 담아낸 총 41면으로 된 도첩. 제주도 소속 화공 김남길이 그림을 그리고 이형상이 설명을 삽입하여 함께 제작한 것으로 18세기 초 제주도의 자연, 역사, 산물 등이 기록된 작품으로 역사적, 문화적, 회화적 가치가 높음
(7) 동이산략(東耳刪略) 1책 : 일본 지리에 대한 박물지로 일본의 군병, 병기, 병서 및 일본의 지형 정세를 기술한 필사본
(8) 둔서록(遯筮錄) 1책 : 이형상이 조정에 올린 글을 모은 책
(9) 부부유목(覆瓿類目) 1책 : 이형상이 자신이 쓴 글을 유목별로 나누어 정리한 책
(10) 정안여분(靜安餘噴) 1책 : 이형상이 자신이 쓴 글을 서목별로 요약한 책"
12,6750000000,37,1123706750000,128.7662098,36.08410427,보물,유적건조물,종교신앙,불교,탑,영천 화남리 삼층석탑,永川 華南里 三層石塔,1기,19800916,경상북도,영천시,"
			
	             
	                 
	                 
	                     경북 영천시 신녕면 화남리 498번지
	                 
	             
	         
	         
		",신라시대 후기,"
                국유
        ","
               영천시
		",N,http://www.khs.go.kr/unisearch/images/treasure/1621414.jpg,"옛 한광사의 불전 앞에 동서로 서 있던 쌍탑 중 하나로, 이 탑의 기단석 한 면을 열자 그 안에서 영천 화남리 석조여래좌상이 발견되었다. 
 1단의 기단(基壇) 위에 3층의 탑신(塔身)을 올린 모습으로 꼭대기에는 머리장식을 받치던 받침돌만 남아있다. 기단은 네 모서리와 가운데에, 탑신의 몸돌에는 네 모서리에 각각 기둥 모양을 본떠 새겼다. 지붕돌은 밑면에 4단의 받침을 두었으며, 낙수면은 약한 곡선을 그리며 경쾌하게 표현되었다. 
 이 탑은 통일신라시대인 9세기경에 만들어진 것으로, 각 층의 지붕돌과 몸돌은 하나의 돌로 조각한 전형적인 통일신라시대의 석탑양식을 따르고 있다."
