국가유산연계번호,문화재명(국문),국가유산종목,시대그룹,추정제작연도,문화재연령,재질,노출형태,위도,경도
1113700140000,영천 거조사 영산전,국보,고려후기,1350,676,기타,반실외,36.02007948,128.7645359
1112506200001,영천 청제비,국보,신라,600,1426,석조,실외,35.92509021,128.9408936
1123704650000,영천 신월리 삼층석탑,보물,통일신라,800,1226,석조,실외,35.93750099,128.8987576
1123704860000,영천 은해사 백흥암 수미단,보물,조선,1650,376,기타,반실외,35.9965597,128.7680167
1123705130000,영천 선원동 철조여래좌상,보물,고려,1200,826,금속,반실외,36.0394867,128.9688734
1123705140000,영천 은해사 운부암 금동보살좌상,보물,조선,1650,376,금속,반실외,36.00376119,128.7591883
1123705210000,영천 숭렬당,보물,조선후기,1750,276,목조,반실외,35.96642465,128.9289828
1123706160000,영천향교 대성전,보물,조선초기,1500,526,목조,반실외,35.96999317,128.9282576
1123706520000,이형상 수고본,보물,기타,1900,126,기타,반실외,35.9732205,128.9385509
1123706750000,영천 화남리 삼층석탑,보물,통일신라,800,1226,석조,실외,36.08410427,128.7662098
1123706760000,영천 화남리 석조여래좌상,보물,고려,1200,826,석조,반실외,36.08425313,128.766369
1123707900000,영천 은해사 백흥암 극락전,보물,조선초기,1500,526,기타,반실외,35.996623,128.767734
1123711090000,임고서원 전적,보물,기타,1900,126,목조,반실외,36.01691292,128.9733585
1123711100000,정몽주 초상(1991),보물,조선후기,1750,276,목조,실내,36.01691292,128.9733585
1123712700000,은해사 괘불탱,보물,조선후기,1750,276,회화,실내,36.0036716,128.7593287
1123712710000,수도사 노사나불 괘불탱,보물,조선후기,1750,276,회화,실내,36.0389433,128.7188708
1123716040000,영천 은해사 청동북 및 북걸이,보물,조선후기,1750,276,금속,실내,35.9918398,128.7896748
1123716120000,영천 봉림사 영산회상도 및 복장유물,보물,조선후기,1750,276,회화,반실외,36.1260079,128.8978297
1123718570000,영천 은해사 염불왕생첩경도,보물,기타,1900,126,회화,반실외,35.99026252,128.7943108
1123721780000,영천 인종대왕 태실,보물,조선,1650,376,석조,실외,35.99709967,128.7770405
1333705680900,제2로 직봉 - 영천 성산 봉수 유적,사적,조선,1650,376,석조,실외,35.98231987,128.8359748
1333705681000,제2로 직봉 - 영천 성황당 봉수 유적,사적,조선,1650,376,석조,실외,35.9584018,128.8963818
1333705681100,제2로 직봉 - 영천 여음동 봉수 유적,사적,조선,1650,376,석조,실외,36.05687704,128.7612495
1363704040000,영천 자천리 오리장림,천연기념물,조선초기,1500,526,기타,반실외,36.1032809,128.9131511
1483700240000,영천 매산고택과 산수정,국가민속문화유산,조선,1650,376,목조,반실외,36.073145,128.976705
1483701070000,영천 연정고택,국가민속문화유산,조선후기,1750,276,목조,반실외,36.05056024,128.977497
1483701190000,병와 이형상 유품,국가민속문화유산,조선,1650,376,기타,반실외,35.964665,128.9284714
1483701750000,영천 만취당 고택,국가민속문화유산,조선후기,1750,276,목조,반실외,35.906755,128.890803
2113700530000,생육신이경은선생부조묘,시도유형문화유산,기타,1900,126,기타,반실외,36.08976278,129.0352693
2113700540000,생육신이경은선생제단,시도유형문화유산,기타,1900,126,기타,반실외,36.08976278,129.0352693
2113700550000,용계서원,시도유형문화유산,기타,1900,126,목조,반실외,36.08976278,129.0352693
2113700680000,박노계집판목,시도유형문화유산,기타,1900,126,기타,반실외,35.9732205,128.9385509
2113700710000,강호정,시도유형문화유산,기타,1900,126,목조,반실외,36.0828333,129.0144731
2113700720000,오회공종택,시도유형문화유산,기타,1900,126,목조,반실외,36.0792346,129.0150003
2113700730000,하천재<부비각>,시도유형문화유산,기타,1900,126,석조,실외,36.08374223,129.0146768
2113700740000,사의당,시도유형문화유산,기타,1900,126,목조,반실외,36.0852399,129.0149118
2113700750000,삼휴정,시도유형문화유산,기타,1900,126,목조,반실외,36.08019069,129.0146217
2113700760000,오회당,시도유형문화유산,기타,1900,126,목조,반실외,36.0792346,129.0150003
2113700770000,동린각,시도유형문화유산,기타,1900,126,목조,반실외,36.0474337,129.0028033
2113700780000,자양서당,시도유형문화유산,기타,1900,126,목조,반실외,36.0474337,129.0028033
2113700900000,호수종택,시도유형문화유산,기타,1900,126,목조,반실외,35.98908177,128.9156967
2113701370000,거동사대웅전,시도유형문화유산,기타,1900,126,목조,반실외,36.15029095,129.0265476
2113701440000,영천조양각,시도유형문화유산,기타,1900,126,목조,반실외,35.9670811,128.9329587
2113701680000,신녕향교명륜당,시도유형문화유산,조선,1650,376,목조,반실외,36.04860062,128.7912872
2113701790000,명고영정,시도유형문화유산,기타,1900,126,목조,실내,36.0063853,128.9183874
2113702690000,영천정각리삼층석탑,시도유형문화유산,고려,1200,826,석조,실외,36.1514184,128.9923847
2113702700000,옥간정,시도유형문화유산,기타,1900,126,목조,반실외,36.1147345,128.9478745
2113702710000,모고헌,시도유형문화유산,기타,1900,126,기타,반실외,36.1154799,128.9464461
2113702720000,포은정몽주유허비,시도유형문화유산,기타,1900,126,석조,실외,36.00623826,128.9855252
2113702860000,영천보성리암각화,시도유형문화유산,청동기,-1000,3026,석조,실외,35.99401222,128.8409324
2113702990000,사룡산금정암제석탱,시도유형문화유산,기타,1900,126,목조,반실외,36.1077859,129.0651361
2113703190000,은해사백흥암감로왕도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.9965597,128.7680167
2113703320000,은해사중암암삼층석탑,시도유형문화유산,고려초기,1100,926,석조,실외,35.99498321,128.7519661
2113703330000,금산당,시도유형문화유산,조선후기,1750,276,목조,반실외,35.90660031,128.8904564
2113703420000,은해사극락보전후불탱화및삼장탱화,시도유형문화유산,조선후기,1750,276,회화,실내,35.9918398,128.7896748
2113704200000,영천 영지사 대웅전,시도유형문화유산,기타,1900,126,목조,반실외,35.84446326,128.9515975
2113704250000,영천 죽림사 철조여래좌상,시도유형문화유산,기타,1900,126,금속,반실외,35.9732205,128.9385509
2113704840000,영천 영지사 대웅전 후불탱화,시도유형문화유산,기타,1900,126,목조,실내,35.84446886,128.9509242
2113704850000,영천 영지사 명부전 석조지장시왕상 일괄,시도유형문화유산,기타,1900,126,석조,반실외,35.9732205,128.9385509
2113704900000,영천 조치우 옥비,시도유형문화유산,기타,1900,126,석조,실외,35.87829826,128.907515
2113705210000,민간조보,시도유형문화유산,조선,1650,376,기타,반실외,35.9732205,128.9385509
2113705360000,영천 묘봉암 목우자수심결,시도유형문화유산,기타,1900,126,기타,반실외,35.9732205,128.9385509
2113705370000,영천 임고서원 영조을묘모본 정몽주 초상 및 함,시도유형문화유산,기타,1900,126,목조,실내,35.9732205,128.9385509
2113705380000,영천 은해사 기기암 신중도,시도유형문화유산,기타,1900,126,회화,반실외,35.9732205,128.9385509
2113705790000,아비달마대비바사론 권제20,시도유형문화유산,조선,1650,376,석조,실외,35.9732205,128.9385509
2113705800000,육경합부,시도유형문화유산,조선,1650,376,기타,반실외,35.9732205,128.9385509
2113705840000,영천 용화사 관음보살도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.97938841,128.944905
2113705850000,영천 용화사 석가설법도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.97938841,128.944905
2113705860000,영천 용화사 신중도,시도유형문화유산,조선후기,1750,276,회화,반실외,35.97938841,128.944905
2112604100002,영천향교 소장 고문서,시도유형문화유산,조선후기,1750,276,목조,반실외,35.9732205,128.9385509
2223700450000,영천 목조각장,시도무형유산,기타,1900,126,목조,반실외,35.9732205,128.9385509
2333700510000,전금강성장군황보능장묘,시도기념물,기타,1900,126,기타,반실외,35.99115009,128.9896528
2333700620000,임고서원,시도기념물,기타,1900,126,목조,반실외,36.0167393,128.9735197
2333700810000,영천충효재,시도기념물,기타,1900,126,목조,반실외,36.10802797,129.066708
2333701440000,고천서원,시도기념물,기타,1900,126,목조,반실외,36.01721337,128.9906875
2333701520000,영천청제,시도기념물,기타,1900,126,기타,반실외,35.92202679,128.9423317
2333701560000,임란의병 한천전 승첩지,시도기념물,기타,1900,126,기타,반실외,36.06915292,128.8998392
2333701830000,영천 정의번 시총,시도기념물,조선,1650,376,목조,반실외,36.08041854,129.0158252
2443700200000,완귀정,시도민속문화유산,기타,1900,126,목조,반실외,35.93650513,128.9350364
2443700870000,환구세덕사,시도민속문화유산,기타,1900,126,기타,반실외,36.03947905,128.9696293
2443700880000,양계정사,시도민속문화유산,기타,1900,126,목조,반실외,35.99169796,128.9167797
2443701390000,영천 지산고택,시도민속문화유산,기타,1900,126,목조,반실외,35.85677618,128.9221029
2443701620000,영천 귀애정,시도민속문화유산,기타,1900,126,목조,반실외,36.05743337,128.8736587
3413700240000,이대전유허비,문화유산자료,기타,1900,126,석조,실외,35.98162302,128.9120692
3413701000000,도잠서원,문화유산자료,기타,1900,126,목조,반실외,35.8482986,128.9453348
3413701010000,유후재및옥비,문화유산자료,기타,1900,126,석조,실외,35.87823291,128.9074726
3413701020000,신녕향교대성전,문화유산자료,조선,1650,376,목조,반실외,36.04860062,128.7912872
3413701030000,영천공덕동삼층석탑,문화유산자료,기타,1900,126,석조,실외,36.09267479,128.9636771
3413701040000,은해사거조암삼층석탑,문화유산자료,기타,1900,126,석조,실외,36.0200961,128.7645919
3413702300000,함계정사,문화유산자료,기타,1900,126,목조,반실외,36.04759471,128.9778575
3413703670000,은해사 극락보전,문화유산자료,기타,1900,126,기타,반실외,35.9921439,128.7896483
3413703730000,영천경주김씨지사공종택,문화유산자료,기타,1900,126,목조,반실외,36.0270755,128.993921
3413704520000,영천자천교회,문화유산자료,기타,1900,126,목조,반실외,36.1112251,128.9208761
